id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
1004,Voila,Janes Frozen Turkey Nuggets Fully Cooked Breaded Cutlettes 600 g,600g,,15.99,$2.67/100g,2.67
1787,Voila,Toppits Frozen Gluten-Free Breaded Haddock 400 g,400g,,11.99,$3.00/100g,3.0
3331,Voila,Dempster's Bread 100% Whole Wheat 675 g,675g,,3.99,$0.59/100g,0.59
3332,Voila,Dempster's Bread Malt 340 g,340g,,5.69,$1.67/100g,1.67
3334,Voila,Dempster's Enriched White Bread 675 g,675g,,3.99,$0.59/100g,0.59
3339,Voila,Dempster’s 100% Whole Grains Bread Multigrain 600 g,600g,,4.49,$0.75/100g,0.75
3340,Voila,Dempster’s Bread 100% Whole Grains Double Flax 600 g,600g,,4.49,$0.75/100g,0.75
3342,Voila,Dempster’s Thin Sandwich Bread 100% Whole Wheat 675 g,675g,,3.99,$0.59/100g,0.59
3343,Voila,Dempster’s Thin Sandwich White Bread 675 g,675g,,3.99,$0.59/100g,0.59
3344,Voila,Dempster’s White Sandwich Bread Texas Toast 675 g,675g,,3.99,$0.59/100g,0.59
3434,Voila,Canada Bread Dinner Rolls 24 Rolls 710 g,24 x 29.583g,,4.99,$0.70/100g,0.7
3739,Voila,Eat My Shortbread Gluten-Free Shortbread Bites 200 g,200g,,10.99,$5.50/100g,5.5
4735,Voila,Compliments Frozen Chicken Breast Chunks Breaded and Seasoned with Honey Garlic Sauce 800 g,800g,,14.99,$1.87/100g,1.87
4736,Voila,Compliments Frozen Chicken Breast Fillets Breaded and Seasoned with Plum Sauce 800 g,800g,,14.99,$1.87/100g,1.87
12162,Voila,Farm Boy Flatbread Asiago 150 g,150g,,4.99,$3.33/100g,3.33
12173,Voila,Farm Boy Flatbread Prosciutto & Pear 400 g (frozen),400g,,8.99,$2.25/100g,2.25
12228,Voila,Kraft Stove Top Stuffing Mix Cornbread 120 g,120g,,3.29,$2.74/100g,2.74
12435,Voila,Finn Crisp Thin Crispbread Multigrain 175 g,175g,,4.49,$2.57/100g,2.57
12440,Voila,Wasa Sourdough Crispbread 275 g,275g,,5.49,$2.00/100g,2.0
12441,Voila,34 Degrees Crispbread Original 127 g,127g,,8.29,$6.53/100g,6.53
12483,Voila,Farm Boy Flatbreads Mediterranean 200 g,200g,,3.99,$2.00/100g,2.0
12484,Voila,Farm Boy Garlic Cilantro Breadsticks 300 g,300g,,3.49,$1.16/100g,1.16
12488,Voila,Farm Boy Shortbread Cookies Raspberry White Chocolate 170 g,170g,,4.99,$2.94/100g,2.94
12523,Voila,Marco Polo Gingerbread Pretzel Chocolate 400 g,400g,,2.99,$0.75/100g,0.75
12535,Voila,Panache White Chocolate Shortbread Cookies Raspberry 170 g,170g,,5.29,$3.11/100g,3.11
12555,Voila,Star Wars Cookie Kit Gingerbread Grogu 145 g,141g,,9.99,$7.09/100g,7.09
13461,Voila,Food For Life Frozen Bread Genesis Sprouted Grain 680 g,680g,,10.79,$1.59/100g,1.59
13905,Voila,Prime Chicken Nuggets Breaded 700 g,700g,,16.99,$2.43/100g,2.43
13906,Voila,Prime Chicken Strips Breaded 700 g,700g,,16.99,$2.43/100g,2.43
13907,Voila,Prime Dino Chicken Nuggets Breaded 700 g,700g,,16.99,$2.43/100g,2.43
13908,Voila,Prime Popcorn Chicken Breaded 700 g,700g,,16.99,$2.43/100g,2.43
13909,Voila,Prime Seasoned Stuffed Chicken Cutlettes Broccoli & Cheddar Breaded Raw 568 g,568g,,17.99,$3.17/100g,3.17
13910,Voila,Prime Seasoned Stuffed Chicken Cutlettes Butter & Chive Breaded Raw 568 g,568g,,17.99,$3.17/100g,3.17
13912,Voila,Prime Chicken Burgers Breaded 700 g,700g,,16.99,$2.43/100g,2.43
22494,Loblaws,European Multi Grain Rustic Bread,500g,President's Choice,3.99,$0.80/100g,0.8
22896,Loblaws,Flatbreads Naan Original,250g,Stonefire,2.49,$1.00/100g,1.0
22897,Loblaws,Flatbreads Naan Rounds Caramelized Onion,360g,Stonefire,4.49,$1.25/100g,1.25
23258,Loblaws,"Frozen Crispy Breaded, Frozen, Cod Fillets, Uncooked",515g,High Liner,12.99,$2.52/100g,2.52
23529,Loblaws,Garlic Bread with Cheese,260g,,3.49,$1.34/100g,1.34
23530,Loblaws,"Garlic Bread, Load",260g,Manouch,4.49,$1.73/100g,1.73
23735,Loblaws,Gluten Free Pure Butter Shortbread,140g,Walkers,6.99,$4.99/100g,4.99
23839,Loblaws,Golden Flax Bread,454g,Stonemill,5.79,$1.28/100g,1.28
25865,Loblaws,"Lemon Peppercorn Fillets, Breaded Seasoned Pollock",500g,High Liner,8.49,$1.70/100g,1.7
27385,Loblaws,& Go! Hazelnut Spread With Cocoa + Breadsticks,52g,Nutella,1.99,$3.83/100g,3.83
28440,Loblaws,Best For Bread Whole Wheat Flour,5kg,Robin Hood,13.49,$0.27/100g,0.27
28834,Loblaws,Bread 100% Whole Grains Ancient Grains with Quinoa ,600g,Dempster,4.79,$0.80/100g,0.8
28842,Loblaws,Bread Crumbs Italian Seasoned,425g,Pope,4.79,$1.13/100g,1.13
28843,Loblaws,Bread Crumbs Plain,425g,Pope,4.79,$1.13/100g,1.13
28870,Loblaws,Breaded Fish Burgers,515g,High Liner,8.49,$1.65/100g,1.65
28874,Loblaws,"Breaded Haddock Bites, Original, Uncooked",600g,High Liner,11.99,$2.00/100g,2.0
30133,Loblaws,Chocolate Chip Banana Bread ,45g,Larabar,2.29,$5.09/100g,5.09
31103,Loblaws,"Crispy, Breaded, Frozen Haddock Fillets, Uncooked",425g,High Liner,12.99,$3.06/100g,3.06
