id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
1837,Voila,Earth's Own Dairy-Free Plant-Based Beverage Oat Milk Original 1.75 L,1.75l,,4.69,$0.27/100ml,0.27
1838,Voila,Earth's Own Oat Milk Vanilla Plant-Based Beverage Dairy-Free 1.75 L,1.75l,,4.69,$0.27/100ml,0.27
1844,Voila,A2 Milk 1% Partly Skimmed Milk 2 L,2l,,7.49,$0.37/100ml,0.37
1859,Voila,Califia Farms Dairy-Free Almond Milk For Coffee French Vanilla 750 ml,750ml,,6.49,$0.87/100ml,0.87
1863,Voila,Earth's Own Almond Milk Chocolate Dairy-Free Plant-Based Beverage 946 ml,946ml,,3.99,$0.42/100ml,0.42
1870,Voila,Earth's Own Oat Milk Naked Original Organic Plant-Based Beverage Dairy-Free 1.75 L,1.75l,,7.29,$0.42/100ml,0.42
1875,Voila,Earth's Own Organic Almond Milk Unsweetened Vanilla Dairy-Free Plant-Based Beverage 1.75 L,1.75l,,3.50,$0.20/100ml,0.2
1881,Voila,Fairlife Lactose-Free Ultrafiltered 1% Milk Partly Skimmed 1.5 L (bottle),1.5l,,6.99,$0.47/100ml,0.47
1883,Voila,Greenhouse Organic Almond Milk Unsweetened 946 ml (bottle),946ml,,8.79,$0.93/100ml,0.93
1936,Voila,Not Milk Plant Based Beverage Whole 946 ml,946ml,,3.99,$0.42/100ml,0.42
1940,Voila,Riviera 1% Milk Goat  1 L (bottle),1l,,4.69,$0.47/100ml,0.47
1943,Voila,Rolling Meadow Dairy 1% Grass Fed Milk Partly Skimmed 2 L,2l,,7.29,$0.36/100ml,0.36
2002,Voila,The Cultured Coconut Organic Probiotic Coconut Milk 460 ml,460ml,,22.99,$5.00/100ml,5.0
2627,Voila,Compliments Cheese Goat Milk Cheddar 200 g,200g,,10.49,$5.25/100g,5.25
5901,Voila,Leclerc Celebration Cookie Stick Chocolate Milk 240 g,240g,,4.99,$2.08/100g,2.08
